variant,endpoint,k,search_term,violation_rate,compliant_rate,unclear_rate,total_results,violation_count,compliant_count,unclear_count,negative_intent,search_volume
control,l1_hybrid,4,bully sticks odor free,0.0,1.0,0.0,4,0,4,0,odor,4104
control,l1_hybrid,4,calcium without d3,0.5,0.5,0.0,4,2,2,0,d3,1856
control,l1_hybrid,4,canidae grain free,0.0,1.0,0.0,4,0,4,0,grain,4014
control,l1_hybrid,4,canidae grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,2888
control,l1_hybrid,4,canine naturals hide free,0.0,1.0,0.0,4,0,4,0,hide,7376
control,l1_hybrid,4,canned cat food grain free,0.0,1.0,0.0,4,0,4,0,grain,3121
control,l1_hybrid,4,canned dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,5595
control,l1_hybrid,4,canned grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,2676
control,l1_hybrid,4,cat collar no bell,1.0,0.0,0.0,4,4,0,0,bell,3873
control,l1_hybrid,4,cat dewormer no prescription,0.25,0.5,0.25,4,1,2,1,prescription,23133
control,l1_hybrid,4,cat dry food grain free,0.0,1.0,0.0,4,0,4,0,grain,4630
control,l1_hybrid,4,cat food dry grain free,0.0,1.0,0.0,4,0,4,0,grain,3203
control,l1_hybrid,4,cat food grain free,0.0,1.0,0.0,4,0,4,0,grain,19117
control,l1_hybrid,4,cat food no chicken,1.0,0.0,0.0,4,4,0,0,chicken,2783
control,l1_hybrid,4,cat food organic grain free,0.0,0.5,0.5,4,0,2,2,grain,4534
control,l1_hybrid,4,cat food pate grain free,0.0,1.0,0.0,4,0,4,0,grain,2011
control,l1_hybrid,4,cat food wet grain free,0.0,1.0,0.0,4,0,4,0,grain,8309
control,l1_hybrid,4,cat food with no additives,0.75,0.0,0.25,4,3,0,1,additives,1600
control,l1_hybrid,4,cat grain free pate,0.0,1.0,0.0,4,0,4,0,grain,1150
control,l1_hybrid,4,cat kibble grain free,0.0,1.0,0.0,4,0,4,0,grain,2832
control,l1_hybrid,4,cat litter dust free,0.0,0.0,1.0,4,0,0,4,dust,10997
control,l1_hybrid,4,cat litter fragrance free,0.0,1.0,0.0,4,0,4,0,fragrance,1351
control,l1_hybrid,4,cat litter no dust,0.25,0.0,0.75,4,1,0,3,dust,8050
control,l1_hybrid,4,cat litter no scent,1.0,0.0,0.0,4,4,0,0,scent,2160
control,l1_hybrid,4,cat litter no tracking,0.75,0.25,0.0,4,3,1,0,tracking,3408
control,l1_hybrid,4,cat no pee,0.75,0.25,0.0,4,3,1,0,pee,1037
control,l1_hybrid,4,cat no scratch,1.0,0.0,0.0,4,4,0,0,scratch,1427
control,l1_hybrid,4,cat toys no catnip,1.0,0.0,0.0,4,4,0,0,catnip,1519
control,l1_hybrid,4,cat toys without catnip,1.0,0.0,0.0,4,4,0,0,catnip,1579
control,l1_hybrid,4,cat treats grain free,0.0,1.0,0.0,4,0,4,0,grain,9966
control,l1_hybrid,4,cat treats no chicken,1.0,0.0,0.0,4,4,0,0,chicken,1187
control,l1_hybrid,4,cat tree no carpet,1.0,0.0,0.0,4,4,0,0,carpet,1496
control,l1_hybrid,4,cat wet food grain free,0.0,1.0,0.0,4,0,4,0,grain,9500
control,l1_hybrid,4,charlee bear grain free crunch,0.0,1.0,0.0,4,0,4,0,grain,4712
control,l1_hybrid,4,chew bones rawhide free,0.25,0.75,0.0,4,1,3,0,rawhide,1195
control,l1_hybrid,4,chew no poo,1.0,0.0,0.0,4,4,0,0,poo,2280
control,l1_hybrid,4,chew no poop,1.0,0.0,0.0,4,4,0,0,poop,2803
control,l1_hybrid,4,chews no rawhide,0.25,0.75,0.0,4,1,3,0,rawhide,8496
control,l1_hybrid,4,chick starter feed non medicated,0.5,0.5,0.0,4,2,2,0,medicated,5619
control,l1_hybrid,4,chicken and grain free dog food,0.25,0.75,0.0,4,1,3,0,grain,1266
control,l1_hybrid,4,chicken feed non gmo,1.0,0.0,0.0,4,4,0,0,non gmo,2267
control,l1_hybrid,4,chicken feed soy free,0.0,1.0,0.0,4,0,4,0,soy,1293
control,l1_hybrid,4,chicken free,0.5,0.5,0.0,4,2,2,0,chicken,4487
control,l1_hybrid,4,chicken free canned dog food,0.75,0.25,0.0,4,3,1,0,chicken,1444
control,l1_hybrid,4,chicken free cat food,0.75,0.0,0.25,4,3,0,1,chicken,14097
control,l1_hybrid,4,chicken free cat treats,1.0,0.0,0.0,4,4,0,0,chicken,6356
control,l1_hybrid,4,chicken free dog bones,1.0,0.0,0.0,4,4,0,0,chicken,968
control,l1_hybrid,4,chicken free dog chews,0.75,0.0,0.25,4,3,0,1,chicken,978
control,l1_hybrid,4,chicken free dog food,0.75,0.25,0.0,4,3,1,0,chicken,38479
control,l1_hybrid,4,chicken free dog treat,0.75,0.0,0.25,4,3,0,1,chicken,1429
control,l1_hybrid,4,chicken free dog treats,0.75,0.0,0.25,4,3,0,1,chicken,68590
control,l1_hybrid,4,chicken free dry cat food,1.0,0.0,0.0,4,4,0,0,chicken,3842
control,l1_hybrid,4,chicken free dry dog food,1.0,0.0,0.0,4,4,0,0,chicken,124263
control,l1_hybrid,4,chicken free dry dog food for sensitive skin,0.25,0.5,0.25,4,1,2,1,chicken,1228
control,l1_hybrid,4,chicken free dry puppy food,0.75,0.0,0.25,4,3,0,1,chicken,1272
control,l1_hybrid,4,chicken free large breed puppy food,1.0,0.0,0.0,4,4,0,0,chicken,979
control,l1_hybrid,4,chicken free pill pockets,0.75,0.0,0.25,4,3,0,1,chicken,3116
control,l1_hybrid,4,chicken free puppy food,0.75,0.0,0.25,4,3,0,1,chicken,5340
control,l1_hybrid,4,chicken free treat,0.75,0.0,0.25,4,3,0,1,chicken,1329
control,l1_hybrid,4,chicken free treats,0.75,0.0,0.25,4,3,0,1,chicken,3686
control,l1_hybrid,4,chicken free weight control,0.5,0.25,0.25,4,2,1,1,chicken,1015
control,l1_hybrid,4,chicken free wet cat food,1.0,0.0,0.0,4,4,0,0,chicken,3583
control,l1_hybrid,4,chicken free wet dog food,0.75,0.25,0.0,4,3,1,0,chicken,19833
control,l1_hybrid,4,chicken-free cat food,0.75,0.0,0.25,4,3,0,1,chicken,6561
control,l1_hybrid,4,chicken-free dog food,0.0,1.0,0.0,4,0,4,0,chicken,3218
control,l1_hybrid,4,chicken-free dry dog food,0.5,0.5,0.0,4,2,2,0,chicken,5068
control,l1_hybrid,4,chicken-free wet dog food,0.5,0.25,0.25,4,2,1,1,chicken,3656
control,l1_hybrid,4,choke free harness,0.0,1.0,0.0,4,0,4,0,choke,1536
control,l1_hybrid,4,churu grain free,0.0,1.0,0.0,4,0,4,0,grain,1142
control,l1_hybrid,4,clumping cat litter dust free,0.0,0.0,1.0,4,0,0,4,dust,7057
control,l1_hybrid,4,cockatiel food no sunflower seeds,0.5,0.25,0.25,4,2,1,1,sunflower seeds,3792
control,l1_hybrid,4,corn and soy free chicken feed,0.25,0.75,0.0,4,1,3,0,corn and soy,2593
control,l1_hybrid,4,corn free chicken feed,0.25,0.75,0.0,4,1,3,0,corn,6014
control,l1_hybrid,4,corn free chicken scratch,0.75,0.0,0.25,4,3,0,1,corn,2220
control,l1_hybrid,4,corn free dog food,0.0,0.75,0.25,4,0,3,1,corn,6183
control,l1_hybrid,4,corn free dry cat food,0.0,1.0,0.0,4,0,4,0,corn,1013
control,l1_hybrid,4,cough free horse,0.5,0.5,0.0,4,2,2,0,free,6820
control,l1_hybrid,4,country kitchen rawhide free twists,0.0,1.0,0.0,4,0,4,0,rawhide,1202
control,l1_hybrid,4,crunchy grain free dog treats,0.25,0.75,0.0,4,1,3,0,grain,1432
control,l1_hybrid,4,delectables non seafood,0.0,1.0,0.0,4,0,4,0,seafood,1668
control,l1_hybrid,4,diamond grain free,1.0,0.0,0.0,4,4,0,0,grain,2150
control,l1_hybrid,4,diamond grain free dog food,0.5,0.5,0.0,4,2,2,0,grain,9975
control,l1_hybrid,4,diamond natural grain free,0.75,0.25,0.0,4,3,1,0,grain,2679
control,l1_hybrid,4,diamond naturals grain free,0.25,0.75,0.0,4,1,3,0,grain,4384
control,l1_hybrid,4,diamond naturals grain free dog food,0.5,0.5,0.0,4,2,2,0,grain,4547
control,l1_hybrid,4,dog bone rawhide free,0.5,0.5,0.0,4,2,2,0,rawhide,1437
control,l1_hybrid,4,dog bones no rawhide,1.0,0.0,0.0,4,4,0,0,rawhide,8198
control,l1_hybrid,4,dog bones rawhide free,0.0,0.75,0.25,4,0,3,1,rawhide,22731
control,l1_hybrid,4,dog chews rawhide free,0.0,1.0,0.0,4,0,4,0,rawhide,80267
control,l1_hybrid,4,dog dry food grain free,0.0,1.0,0.0,4,0,4,0,grain,2653
control,l1_hybrid,4,dog food chicken free,0.75,0.25,0.0,4,3,1,0,chicken,4370
control,l1_hybrid,4,dog food dry grain free,0.0,1.0,0.0,4,0,4,0,grain,3977
control,l1_hybrid,4,dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,27813
control,l1_hybrid,4,dog food grain free large breed,0.0,1.0,0.0,4,0,4,0,grain,5771
control,l1_hybrid,4,dog food grain free non-gmo,0.0,1.0,0.0,4,0,4,0,grain,988
control,l1_hybrid,4,dog food no chicken,0.5,0.5,0.0,4,2,2,0,chicken,12053
control,l1_hybrid,4,dog food no corn,0.0,1.0,0.0,4,0,4,0,corn,1250
control,l1_hybrid,4,dog food no grain,0.0,1.0,0.0,4,0,4,0,grain,2517
control,l1_hybrid,4,dog food poultry free,1.0,0.0,0.0,4,4,0,0,poultry,1332
control,l1_hybrid,4,dog food with no chicken,0.25,0.5,0.25,4,1,2,1,chicken,9753
control,l1_hybrid,4,dog food without chicken,0.0,0.75,0.25,4,0,3,1,chicken,11590
control,l1_hybrid,4,dog harness large no pull,0.75,0.25,0.0,4,3,1,0,pull,5076
control,l1_hybrid,4,dog harness medium no pull,0.75,0.25,0.0,4,3,1,0,pull,3091
control,l1_hybrid,4,dog harness no escape,1.0,0.0,0.0,4,4,0,0,escape,1062
control,l1_hybrid,4,dog harness no pull,0.25,0.75,0.0,4,1,3,0,pull,76414
control,l1_hybrid,4,dog no pull harness,0.0,1.0,0.0,4,0,4,0,pull,9874
control,l1_hybrid,4,dog non rawhide chews,0.75,0.25,0.0,4,3,1,0,rawhide,1730
control,l1_hybrid,4,dog rawhide free bones,0.0,1.0,0.0,4,0,4,0,rawhide,1370
control,l1_hybrid,4,dog rawhide free treats,0.0,1.0,0.0,4,0,4,0,rawhide,2749
control,l1_hybrid,4,dog stroller no zip,0.0,1.0,0.0,4,0,4,0,zip,1065
control,l1_hybrid,4,dog toy no squeak,1.0,0.0,0.0,4,4,0,0,squeak,1212
control,l1_hybrid,4,dog toy no squeaker,1.0,0.0,0.0,4,4,0,0,squeaker,1524
control,l1_hybrid,4,dog toy no stuffing,0.0,1.0,0.0,4,0,4,0,stuffing,10254
control,l1_hybrid,4,dog toy stuffing free,0.0,1.0,0.0,4,0,4,0,stuffing,1322
control,l1_hybrid,4,dog toys for large dogs no stuffing,0.0,1.0,0.0,4,0,4,0,stuffing,7409
control,l1_hybrid,4,dog toys no squeak,1.0,0.0,0.0,4,4,0,0,squeak,1702
control,l1_hybrid,4,dog toys no stuffing,0.0,1.0,0.0,4,0,4,0,stuffing,28211
control,l1_hybrid,4,dog toys small dogs stuffing free,0.0,1.0,0.0,4,0,4,0,stuffing,1156
control,l1_hybrid,4,dog toys stuffing free,0.0,1.0,0.0,4,0,4,0,stuffing,2442
control,l1_hybrid,4,dog toys with no stuffing,0.0,1.0,0.0,4,0,4,0,stuffing,7273
control,l1_hybrid,4,dog treats chicken free,1.0,0.0,0.0,4,4,0,0,chicken,1452
control,l1_hybrid,4,dog treats for dogs with no teeth,1.0,0.0,0.0,4,4,0,0,teeth,3257
control,l1_hybrid,4,dog treats for large dogs grain free,0.0,1.0,0.0,4,0,4,0,grain,1206
control,l1_hybrid,4,dog treats grain free,0.0,1.0,0.0,4,0,4,0,grain,13152
control,l1_hybrid,4,dog treats no chicken,1.0,0.0,0.0,4,4,0,0,chicken,4753
control,l1_hybrid,4,dog treats no rawhide,0.5,0.5,0.0,4,2,2,0,rawhide,2246
control,l1_hybrid,4,dog treats rawhide free,0.25,0.75,0.0,4,1,3,0,rawhide,3261
control,l1_hybrid,4,dog treats with no chicken,1.0,0.0,0.0,4,4,0,0,chicken,1095
control,l1_hybrid,4,dog treats without chicken,0.5,0.25,0.25,4,2,1,1,chicken,4721
control,l1_hybrid,4,dog water bowl no spill,0.25,0.5,0.25,4,1,2,1,spill,23089
control,l1_hybrid,4,dog wet food grain free,0.0,1.0,0.0,4,0,4,0,grain,1300
control,l1_hybrid,4,dry cat food grain free,0.0,1.0,0.0,4,0,4,0,grain,10528
control,l1_hybrid,4,dry cat food no chicken,1.0,0.0,0.0,4,4,0,0,chicken,999
control,l1_hybrid,4,dry cat food no grain,0.0,1.0,0.0,4,0,4,0,grain,974
control,l1_hybrid,4,dry dog food chicken free,0.75,0.25,0.0,4,3,1,0,chicken,1536
control,l1_hybrid,4,dry dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,7777
control,l1_hybrid,4,dry dog food no chicken,0.5,0.5,0.0,4,2,2,0,chicken,2481
control,l1_hybrid,4,dry dog food without chicken,0.0,0.5,0.5,4,0,2,2,chicken,1892
control,l1_hybrid,4,dry grain free cat food,0.0,1.0,0.0,4,0,4,0,grain,5998
control,l1_hybrid,4,dry grain free dog food,0.25,0.75,0.0,4,1,3,0,grain,4159
control,l1_hybrid,4,dust free cat litter,0.0,0.25,0.75,4,0,1,3,dust,68627
control,l1_hybrid,4,dust free clumping cat litter,0.0,0.0,1.0,4,0,0,4,dust,33448
control,l1_hybrid,4,dust free clumping litter,0.25,0.25,0.5,4,1,1,2,dust,1145
control,l1_hybrid,4,dust free litter,0.0,0.5,0.5,4,0,2,2,dust,8568
control,l1_hybrid,4,dust free unscented clumping cat litter,0.0,0.0,1.0,4,0,0,4,dust,6504
control,l1_hybrid,4,earth animal no hide,0.0,1.0,0.0,4,0,4,0,hide,7495
control,l1_hybrid,4,earth animal no hide chews,0.0,1.0,0.0,4,0,4,0,hide,2188
control,l1_hybrid,4,earth animal no hide chews large,0.0,1.0,0.0,4,0,4,0,hide,972
control,l1_hybrid,4,earth animal no hide medium,0.0,1.0,0.0,4,0,4,0,hide,1153
control,l1_hybrid,4,earth animal no hide rolls,0.0,1.0,0.0,4,0,4,0,hide,1258
control,l1_hybrid,4,easy walk no pull harness,0.0,1.0,0.0,4,0,4,0,pull,4342
control,l1_hybrid,4,fancy feast grain free,0.25,0.25,0.5,4,1,1,2,grain,2313
control,l1_hybrid,4,fancy feast grain free pate,0.0,1.0,0.0,4,0,4,0,grain,1036
control,l1_hybrid,4,fancy feast grain free wet cat food,0.0,1.0,0.0,4,0,4,0,grain,12994
control,l1_hybrid,4,farmina grain free,0.75,0.25,0.0,4,3,1,0,grain,2750
control,l1_hybrid,4,farmina grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,3081
control,l1_hybrid,4,fat free dog treats,0.75,0.0,0.25,4,3,0,1,fat,7786
control,l1_hybrid,4,fish free cat food,1.0,0.0,0.0,4,4,0,0,fish,1456
control,l1_hybrid,4,fly mask without ears,0.5,0.5,0.0,4,2,2,0,ears,3567
control,l1_hybrid,4,food grain free,0.0,1.0,0.0,4,0,4,0,grain,4785
control,l1_hybrid,4,fragrance free cat litter,0.25,0.75,0.0,4,1,3,0,fragrance,8207
control,l1_hybrid,4,fragrance free dog shampoo,0.0,1.0,0.0,4,0,4,0,fragrance,3644
control,l1_hybrid,4,freedom grain free cat food,0.0,1.0,0.0,4,0,4,0,grain,2773
control,l1_hybrid,4,freedom grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,8393
control,l1_hybrid,4,freedom no pull harness,0.75,0.25,0.0,4,3,1,0,pull,17745
control,l1_hybrid,4,fresh pet grain free,0.0,1.0,0.0,4,0,4,0,grain,3969
control,l1_hybrid,4,fresh pet grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,1711
control,l1_hybrid,4,fresh step cat litter non clumping,0.5,0.5,0.0,4,2,2,0,non clumping,7310
control,l1_hybrid,4,fresh step dust free,0.25,0.0,0.75,4,1,0,3,dust,1279
control,l1_hybrid,4,fresh step non clumping cat litter,0.5,0.5,0.0,4,2,2,0,non clumping,30486
control,l1_hybrid,4,frisco no pull harness,0.5,0.5,0.0,4,2,2,0,pull,1291
control,l1_hybrid,4,frisco padded no pull dog harness,0.25,0.75,0.0,4,1,3,0,pull,1101
control,l1_hybrid,4,frisco stuffing free,0.0,1.0,0.0,4,0,4,0,stuffing,2257
control,l1_hybrid,4,fromm grain free,0.75,0.25,0.0,4,3,1,0,grain,1032
control,l1_hybrid,4,front clip no pull harness,0.25,0.75,0.0,4,1,3,0,pull,1120
control,l1_hybrid,4,gain free dog food,0.25,0.75,0.0,4,1,3,0,gain,977
control,l1_hybrid,4,gluten free,0.0,1.0,0.0,4,0,4,0,gluten,2039
control,l1_hybrid,4,gluten free cat food,0.0,1.0,0.0,4,0,4,0,gluten,8910
control,l1_hybrid,4,gluten free cat treats,0.0,0.75,0.25,4,0,3,1,gluten,1113
control,l1_hybrid,4,gluten free dog food,0.0,0.75,0.25,4,0,3,1,gluten,32569
control,l1_hybrid,4,gluten free dog treats,0.0,1.0,0.0,4,0,4,0,gluten,14910
control,l1_hybrid,4,gluten free dry dog food,0.5,0.5,0.0,4,2,2,0,gluten,1196
control,l1_hybrid,4,gluten free puppy food,0.25,0.75,0.0,4,1,3,0,gluten,1459
control,l1_hybrid,4,gluten free wet cat food,0.0,0.75,0.25,4,0,3,1,gluten,1955
control,l1_hybrid,4,gluten free wet dog food,0.0,1.0,0.0,4,0,4,0,gluten,1696
control,l1_hybrid,4,gmo free dog food,0.0,1.0,0.0,4,0,4,0,gmo,7978
control,l1_hybrid,4,good lovin no rawhide,0.0,0.0,1.0,4,0,0,4,rawhide,1165
control,l1_hybrid,4,grain and chicken free dog food,0.25,0.75,0.0,4,1,3,0,"grain, chicken",1316
control,l1_hybrid,4,grain free,0.0,1.0,0.0,4,0,4,0,grain,27310
control,l1_hybrid,4,grain free adult dog food,0.0,1.0,0.0,4,0,4,0,grain,6444
control,l1_hybrid,4,grain free air dried dog food,0.0,1.0,0.0,4,0,4,0,grain,1151
control,l1_hybrid,4,grain free beef dog food,0.0,1.0,0.0,4,0,4,0,grain,3945
control,l1_hybrid,4,grain free beef dry dog food,0.0,1.0,0.0,4,0,4,0,grain,1022
control,l1_hybrid,4,grain free biscuits,0.0,1.0,0.0,4,0,4,0,grain,1010
control,l1_hybrid,4,grain free blue buffalo dog food,0.0,1.0,0.0,4,0,4,0,grain,1932
control,l1_hybrid,4,grain free canned cat food,0.0,1.0,0.0,4,0,4,0,grain,11102
control,l1_hybrid,4,grain free canned dog food,0.0,1.0,0.0,4,0,4,0,grain,12390
control,l1_hybrid,4,grain free cat,0.0,1.0,0.0,4,0,4,0,grain,6488
control,l1_hybrid,4,grain free cat dry food,0.0,1.0,0.0,4,0,4,0,grain,2783
control,l1_hybrid,4,grain free cat food,0.0,1.0,0.0,4,0,4,0,grain,76423
control,l1_hybrid,4,grain free cat food dry,0.0,1.0,0.0,4,0,4,0,grain,14537
control,l1_hybrid,4,grain free cat food wet,0.0,1.0,0.0,4,0,4,0,grain,11361
control,l1_hybrid,4,grain free cat pate,0.0,1.0,0.0,4,0,4,0,grain,1210
control,l1_hybrid,4,grain free cat treat,0.0,1.0,0.0,4,0,4,0,grain,6878
control,l1_hybrid,4,grain free cat treats,0.0,1.0,0.0,4,0,4,0,grain,40628
control,l1_hybrid,4,grain free cat wet food,0.0,1.0,0.0,4,0,4,0,grain,5735
control,l1_hybrid,4,grain free chicken cat food,0.0,1.0,0.0,4,0,4,0,grain,1128
control,l1_hybrid,4,grain free chicken dog food,0.0,1.0,0.0,4,0,4,0,grain,1250
control,l1_hybrid,4,grain free chicken dog treats,0.25,0.75,0.0,4,1,3,0,grain,1542
control,l1_hybrid,4,grain free chicken free dog food,0.75,0.25,0.0,4,3,1,0,"grain, chicken",8785
control,l1_hybrid,4,grain free chicken free dog treats,0.75,0.25,0.0,4,3,1,0,"grain, chicken",4078
control,l1_hybrid,4,grain free chicken pate cat food,0.0,1.0,0.0,4,0,4,0,grain,1418
control,l1_hybrid,4,grain free dental chews,0.0,1.0,0.0,4,0,4,0,grain,5153
control,l1_hybrid,4,grain free diet dog food,0.0,1.0,0.0,4,0,4,0,grain,4566
control,l1_hybrid,4,grain free dog,0.0,1.0,0.0,4,0,4,0,grain,7358
control,l1_hybrid,4,grain free dog biscuits,0.0,1.0,0.0,4,0,4,0,grain,7074
control,l1_hybrid,4,grain free dog bones,0.0,1.0,0.0,4,0,4,0,grain,2681
control,l1_hybrid,4,grain free dog chews,0.0,1.0,0.0,4,0,4,0,grain,1598
control,l1_hybrid,4,grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,611730
control,l1_hybrid,4,grain free dog food 40 lb bag,0.0,1.0,0.0,4,0,4,0,grain,4206
control,l1_hybrid,4,grain free dog food 40lbs,0.25,0.75,0.0,4,1,3,0,grain,5458
control,l1_hybrid,4,grain free dog food dry,0.0,1.0,0.0,4,0,4,0,grain,3723
control,l1_hybrid,4,grain free dog food large breed,0.0,1.0,0.0,4,0,4,0,grain,18579
control,l1_hybrid,4,grain free dog food salmon,0.0,1.0,0.0,4,0,4,0,grain,1725
control,l1_hybrid,4,grain free dog food small breed,0.0,1.0,0.0,4,0,4,0,grain,16175
control,l1_hybrid,4,grain free dog food wet,0.0,1.0,0.0,4,0,4,0,grain,7838
control,l1_hybrid,4,grain free dog kibble,0.0,1.0,0.0,4,0,4,0,grain,1556
control,l1_hybrid,4,grain free dog training treats,0.0,1.0,0.0,4,0,4,0,grain,2820
control,l1_hybrid,4,grain free dog treat,0.25,0.75,0.0,4,1,3,0,grain,10410
control,l1_hybrid,4,grain free dog treats,0.25,0.75,0.0,4,1,3,0,grain,138329
control,l1_hybrid,4,grain free dog treats for large dogs,0.0,1.0,0.0,4,0,4,0,grain,997
control,l1_hybrid,4,grain free dog treats for medium dogs,0.0,1.0,0.0,4,0,4,0,grain,5358
control,l1_hybrid,4,grain free dog treats small breed,0.0,1.0,0.0,4,0,4,0,grain,4076
control,l1_hybrid,4,grain free dog wet food,0.0,1.0,0.0,4,0,4,0,grain,1019
control,l1_hybrid,4,grain free dogfood no probiotic,0.0,0.0,1.0,4,0,0,4,probiotic,982
control,l1_hybrid,4,grain free dry,0.0,1.0,0.0,4,0,4,0,grain,4891
control,l1_hybrid,4,grain free dry adult dog food,0.0,1.0,0.0,4,0,4,0,grain,1350
control,l1_hybrid,4,grain free dry cat food,0.0,1.0,0.0,4,0,4,0,grain,197068
control,l1_hybrid,4,grain free dry dog food,0.0,1.0,0.0,4,0,4,0,grain,56421
